city,hotel_name,url,score,description,hotel_lat,hotel_lon
Mont Saint Michel,Hôtel Vert,https://www.booking.com/hotel/fr/vert.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,8.28,"Hotel Vert offers pastel-colored rooms with a private bathroom, TV and free Wi-Fi access. It is located 1.2 mi from the Mont Saint-Michel tidal island on the Normandy Coast.  Guests can enjoy regional cuisine at the Vert’s restaurant, La salicorne. The hotel’s bar, L’Equinoxe, opens onto a private terrace.  The Vert Hotel provides a 24-hour reception and private parking. There is also an on site supermarket and souvenir shop.",48.61470048629041,-1.5096169710159302
Mont Saint Michel,Mercure Mont Saint Michel,https://www.booking.com/hotel/fr/mont-saint-michel.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,8.38,"This Mercure is located in parkland just 1.2 mi from the abbey of Mont Saint Michel. It offers spacious rooms with attached bathroom, a restaurant and bar and plenty of free on-site parking.  The air-conditioned rooms at Mercure Mont Saint Michel are equipped with facilities for making hot drinks.  A flat-screen TV with satellite and cable channels is also provided.  The restaurant, Le Pré Salé, is famous in the area and serves delicious seafood and regional specialties. The bar, Le Normandy, offers a relaxed setting for a drink among friends.  Mercure Mont Saint Michel is 4 mi from Pontorson and 32 mi from Saint-Malo.",48.61424652959294,-1.510545015335083
Mont Saint Michel,La Vieille Auberge,https://www.booking.com/hotel/fr/la-vieille-auberge-le-mont-saint-michel.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,7.57,"La Vieille Auberge is located in the medieval village of Mont-Saint-Michel, a few steps from the famous abbey. It offers free Wi-Fi, a restaurant, a terrace and hotel reception in its main house.  The rooms are divided between two annexes located high up in the village and accessible by numerous steps. One offers standard rooms in the middle of the village, overlooking the street, while the other, at the top of the village, offers rooms with a view of the bay and a terrace. All rooms have flat-screen TVs and private bathrooms with bath or shower.  The hotel also features a bar and a restaurant serving traditional French cuisine.",48.636063,-1.511457
Mont Saint Michel,Le Relais Saint Michel,https://www.booking.com/hotel/fr/le-relais-saint-michel.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,8.38,"Le Relais Saint Michel is an hotel facing the bay of Mont Saint-Michel. All guest rooms ( except Twin Room Saint-Michel with interior view) offer a private terrace and some have panoramic views of Mont Saint-Michel.  The soundproofed rooms are comfortable and spacious. They are fully equipped with modern comforts including a mini-bar and free Wi-Fi access. Each room has private bathrooms.  The hotel’s restaurant offers traditional cuisine. Guests can enjoy a drink or a meal on the terrace, which offers views of the Mont St Michel.  A free shuttle service that stops in front of the hotel will take you to the famous landmark Mont St Michel in just 10 minutes. Safety jackets are provided for guests wishing to take a walk at night. For guests arriving by car, secured parking is available with an extra cost.",48.6175872716489,-1.51039615273476
Mont Saint Michel,Les Terrasses Poulard,https://www.booking.com/hotel/fr/les-terrasses-poulard.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,7.57,"Composed of 2 different buildings, Les Terrasses Poulard is a historical property in the heart of Mont Saint-Michel and offers views of the bay, the village and the street.  Accessed by stairs, each room has a modern décor. Some rooms include large windows with bay views. They are equipped with TV and a private bathroom.  Breakfast is served at the restaurant Les Terrasses de la Baie. Once arrived at the restaurant, please go to the first floor. Alternatively, guests can enjoy a meal at the onsite La Confiance restaurant and offers meals, drinks and snacks.  Guests can enjoy a drink in the Les Terrasses Poulard’s bar. It offers a 24-hour front desk service and guests can leave their luggage at the reception.  Activities in the area include cycling, fishing and hiking and explore the island.",48.63534942564122,-1.5103787183761597
Mont Saint Michel,Hotel Gabriel,https://www.booking.com/hotel/fr/hotel-gabriel.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,8.38,"Hotel Gabriel is located 1 mi from Mont Saint-Michel. It offers free Wi-Fi access and rooms with attached bathroom just a 25-minute walk from the walls of the old city.  The hotel has no elevator and has rooms on the ground floor, 1st and 2nd floor for family rooms.  Each room has a TV, kettle and a private bathroom with shower and toilet.  A buffet breakfast is available every morning.  Hotel Gabriel is a 6-minute drive from the E401 motorway. Pontorson TGV Train Station has connections to Paris and is 4.5 mi away.  La Salicorne offers you authentic, vegetable, colorful, festive and eco responsible world cuisine. Le Pré Salé offers you Pré Salé lamb and semi gastronomic french cuisine.",48.61538141368341,-1.510709971189499
Mont Saint Michel,Le Relais Du Roy,https://www.booking.com/hotel/fr/le-relais-du-roy.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,8.38,"Le Relais Du Roy is a 3-star hotel located next to the River Couesnon, just 0.9 mi from the Mont Saint-Michel and 164 feet from the free shuttle bus.  Featuring flat-screen TVs with satellite channels, a telephone and a welcome tray, each guest room at Le Relais Du Roy is decorated in a classic style. They also have a private bathroom with a bath or a shower, free toiletries and a hairdryer. Some of the rooms feature a balcony.  A buffet breakfast is served each morning at the hotel.  A grocery store can be found within a 3-minute walk from the hotel. The town of Pontorson is 4.3 mi away. Private parking is available with an extra cost.",48.61626270451236,-1.510905772447586
Mont Saint Michel,La Mère Poulard,https://www.booking.com/hotel/fr/la-mere-poulard.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,7.77,"Stay in a Historic Hotel at the Heart of Mont Saint-Michel.  Hôtel La Mère Poulard, located in the heart of Mont Saint-Michel, has preserved the authentic charm of traditional inns from the past. For over a century, this iconic establishment has welcomed pilgrims and travelers from around the world in a setting rich in history.  The hotel consists of three historic houses, each offering a unique atmosphere:  The Historic Inn, where the story of La Mère Poulard began.  La Maison Rouge, with its adjoining garden, providing a peaceful setting.  L’Ermitage, also known as Maison d’Annette, the final residence of the famous cook.  The rooms, with their classic style, offer breathtaking views of the bay, the Abbey, or the medieval town. They are equipped with a flat-screen TV, free Wi-Fi, and a private bathroom with a bathtub.  La Mère Poulard’s renowned restaurant invites you to savor its traditional recipes, including the famous omelet, prepared using Annette Poulard’s unique expertize since 1888.  Take advantage of your stay to explore Mont Saint-Michel and its picturesque streets, hike the surrounding trails, or discover the region by bike.  Avranches is a 23-minute drive away, and Saint-Malo is 45 minutes away.",48.63508531723403,-1.5105396509170532
Mont Saint Michel,Le Saint Aubert,https://www.booking.com/hotel/fr/hotel-saint-aubert.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,7.57,"Set amid lush greenery, just 1.2 mi from the Mont Saint-Michel, the hotel welcomes you in a warm and friendly atmosphere.  Hôtel Saint-Aubert features comfortable and very quiet rooms, surrounded by gardens full of flowers.  After a day spent exploring the Mont Saint-Michel, enjoy a delicious regional cuisine in the picturesque setting of a former farmhouse.  The helpful staff will be happy to provide you with information about the visits and the many attractions in the surrounding area.",48.612937834706464,-1.5101051330566406
Mont Saint Michel,Le Duguesclin,https://www.booking.com/hotel/fr/le-duguesclin-le-mont-saint-michel.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,7.97,"Comfortable Accommodations: Le Duguesclin in Le Mont Saint Michel offers family rooms with private bathrooms, work desks, and free toiletries. Each room includes a TV, wardrobe, and carpeted floors.  Dining Experience: The traditional restaurant serves French cuisine with vegetarian options. Guests can enjoy lunch, dinner, and high tea in a welcoming ambiance. Breakfast includes continental and buffet options with juice, fresh pastries, and fruits.  Convenient Facilities: The hotel provides private check-in and check-out, shuttle service, and luggage storage. Additional amenities include a coffee shop, daily housekeeping, and a bar.   Mont Saint Michel Abbey is just a few steps away, while Mont Saint-Michel is a 3-minute walk. Other nearby points include the Scriptorial of Avranches and Port of Houle. Rennes–Saint-Jacques Airport is 58 mi from the hotel.",48.636063,-1.511457
